id,area,name,type,payex,summary,address,totalcar,totalmotor,FareInfo,twd97x,twd97y
001,信義區,府前廣場地下停車場,其他,小型車全日月票4200元，夜間月票1000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日)，小型車計時30元(9-18)，夜間計時10元(18-9)；機車計時10元(當日當次上限20元)，機車月票300元。111/11/26、11/27、12/3、12/4、12/10、12/11、12/17、12/18、12/24、12/25、12/31、112/1/1、1/2、1/8、1/14、1/15，10-20時，調整小型車費率，計時60元。,為地下二層停車場，計有1998個小型車停車格，1337個機車停車位,松壽路1號地下,2043,1360,30,306812.928,2769892.95
002,信義區,松壽廣場地下停車場,立體式,"計時：30元/時(周一至周五9-22)、40元/時(周六至周日與行政機關放假之紀念日與民俗日9-22)、10元/時(每日22-9)，全程半小時計費。 月租：全日月票3,400元/月、日間月票2,400元/月(每日7-20)、夜間月票1,000元/月(每日19-8)。111/11/26、11/27、12/3、12/4、12/10、12/11、12/17、12/18、12/24、12/25、12/31、112/1/1、1/2、1/8、1/14、1/15，10-20時，調整小型車費率，計時60元。",立體式小型車446格(含身心障礙停車位6格)。,松智路15號地下,455,0,30,307143.74,2770011.52
003,信義區,臺北市災害應變中心地下停車場,立體式,小型車計時30元，全日月票5000元，日間月票2600元(7-19) 機車計時10元(當日當次最高收費上限20元，隔日另計)；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車169格(含身心障礙停車位5格)。立體式機車208格(含身心障礙停車位5格)。,莊敬路391巷11弄2號地下,169,200,30,307142.121,2769087.67
004,信義區,雅祥公園地下停車場,立體式,周一至周四計時40元 周五至周日及政府行政機關放假之紀念日與民俗日計時50元 全日月票4800元，夜間月票2000元(限周一至周五19-8，及周六、日與行政機關放假之紀念日、民俗日使用) ,立體式小型車204格(含身心障礙停車位5格)。,松隆路123巷7號地下,204,0,40,307703.059,2771154.51
005,北投區,立農公園地下停車場,立體式,小型車計時30元，全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8)，所在里里民全日月票3360元，一般里民全日月票3600元 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車204格(含身心障礙停車位5格)。立體式機車95格(含身心障礙停車位2格)。,承德路7段372號地下,204,95,30,300781.892,2778989.94
006,北投區,捷運奇岩站轉乘停車場,平面式,計次:20元/次(隔日另計，以凌晨2時為基準)。月票:300元/月(身障者5折優惠)。,平面式機車154格(含身心障礙停車位5格)。,台北市,0,154,-9,300530.56,2779877.67
007,信義區,萬華國中地下停車場,立體式,小型車計時20元 全日月票4800元，日間月票2800元(7-19)，夜間月票2000元(19-8) 機車計次20元；月票300元；本場實施差別費率，停放於電動車格之車輛，依該場停車費率每小時加收10元，未充電者每小時再加收10元(合計每小時加收20元)。,立體式小型車508格(含身心障礙停車位11格)。立體式機車211格(含身心障礙停車位4格)。,西藏路201號地下,519,215,20,300378.533,2769081.71
008,中山區,捷運劍南路站轉乘停車場,立體式,"計時：小型車平日20元/時(06-22)、10元/時(22-06)，平面場收費上限80元；假日30元/時(06-11)、40元/時(11-22)、10元/時(22-06)，無最高上限，全程以半小時計。計次：機車20元/次(隔日隔次另計，以凌晨2時為基準)。月租：小型車全日2,500元/月，機車全日300元/月。",立體式小型車282格(含身心障礙停車位6格)。立體式機車52格(含身心障礙停車位2格)。,台北市中山區北安路798號1樓、B1-B2,288,54,20,306055.31,2775322.57
009,信義區,國家生技研究園區停車場,其他,"計時：小型車/大型重型機車30元/時，停車未滿30分鐘免費，第1小時以1小時計算，逾1小時以上以半小時累計。月租：全日小型車3,000元/月，大型重型機車1,000元/月，機車300元/月。計次：機車20元/次",大型車0格；小型車514格；機車910格,南港區研究院路1段130巷99號地下1-2層,525,910,30,311812.968,2771359.65
010,萬華區,台灣聯通大世界停車場,機械式,"80元/時，停車未滿1小時以1小時計，逾1小時以上，未滿半小時以半小時計費。月租：全日8,000元",建物附設機械式小型車91格(含身心障礙停車位1格)。,成都路81號B2~B4,93,0,80,300972.113,2770647.1
011,信義區,嘟嘟房東興站停車場,其他,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日8,000元/月。",小型車144格(含身心障礙停車格2格)。,信義區東興路65號地下1-4層,145,0,80,307173.035,2771107.63
012,信義區,嘟嘟房瀚寓酒店站停車場,其他,"計時:80元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:8,000元/月。",大型車0格；小型車35格；機車0格,信義區基隆路1段206號地下1、2層,35,0,80,306840.792,2770309.37
013,大安區,敦南停車場,其他,120元/時，停車未滿1小時以1小時計，逾1小時以上者，未滿半小時以半小時計。月租:全日10000元/月,大型車:0格，小型車:49格，機車:0格,通化段六小段175、176、177、179、179-1、179-2、179-3、179-4、179-5地號,50,0,120,305422.631,2768918.61
